names,res,fps,framenos
/media/labuser-admin/seagate/hdr_videos/cut_vids/t2t3_10.mp4,3840x2160,30000/1001,310
/media/labuser-admin/seagate/hdr_videos/cut_vids/t2t3_20.mp4,3840x2160,30000/1001,290
/media/labuser-admin/seagate/hdr_videos/cut_vids/t2t3_30.mp4,3840x2160,30000/1001,269
/media/labuser-admin/seagate/hdr_videos/cut_vids/t2t3_40.mp4,3840x2160,30000/1001,249
/media/labuser-admin/seagate/hdr_videos/cut_vids/t2t3_50.mp4,3840x2160,30000/1001,229
/media/labuser-admin/seagate/hdr_videos/cut_vids/t2t3.mp4,3840x2160,30000/1001,300
/media/labuser-admin/seagate/hdr_videos/cut_vids/timelapse1.mp4,3840x2026,24/1,360
/media/labuser-admin/seagate/hdr_videos/cut_vids/timelapse2.mp4,3840x2026,24/1,303
/media/labuser-admin/seagate/hdr_videos/cut_vids/VEGAS1.mp4,3840x2160,60000/1001,600
/media/labuser-admin/seagate/hdr_videos/cut_vids/VEGAS2.mp4,3840x2160,60000/1001,874
/media/labuser-admin/seagate/hdr_videos/cut_vids/vliet1.mp4,3840x2160,25/1,250
/media/labuser-admin/seagate/hdr_videos/cut_vids/vliet2.mp4,3840x2160,25/1,256
/media/labuser-admin/seagate/hdr_videos/cut_vids/Waterfall.mp4,3840x2160,60/1,600
